Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,128,128,128,0,2266,2255,99.51,2266,5.65,2251,128,5.69,1024,2149,2149,0,0,0,2150
E4M3,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E5M2,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E3M2,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E2M3,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729
E2M1,64,64,64,0,885,874,98.76,885,14.46,870,128,14.71,128,712,282,2,16,0,729
E4M3,128,128,128,0,2654,2643,99.59,2654,4.82,2639,128,4.85,1024,2376,1837,10,84,0,2461
E5M2,128,128,128,0,2654,2643,99.59,2654,4.82,2639,128,4.85,1024,2376,1837,10,84,0,2461
E3M2,128,128,128,0,2654,2643,99.59,2654,4.82,2639,128,4.85,1024,2376,1837,10,84,0,2461
E2M3,128,128,128,0,2654,2643,99.59,2654,4.82,2639,128,4.85,1024,2376,1837,10,84,0,2461
E2M1,128,128,128,0,2635,2624,99.58,2635,4.86,2620,128,4.89,1024,2376,1824,10,84,0,2461
